Idiom (Kaaps),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kaaps)",First Example Sentence,Second Example Sentence,Third Example Sentence
jy's vol fênnies,Predicate with adjectival phrase,You're full of jokes or acting mischievously,You're being silly or playful,B1,"daily speech, humor, family","colloquial, humorous","Cape Flats origin, often used among youth and family",/jəs fɔl ˈfɛ.nis/,"Hosh, jy's vol fênnies vanaand, wat't jou gevang?",Ma sê altyd ek's vol fênnies as ek grappies maak.,"Toe hy in die klas begin dans, almal sê hy’s vol fênnies!"
hou jou bek,Imperative with reflexive element,Telling someone to be quiet or stop talking,Be quiet,B2,"daily speech, argument, family","colloquial, rude, emphatic",Common across working-class Afrikaans and Kaaps communities,/ɦœu jəu bɛk/,"Ek sê vir jou, hou jou bek nou-nou as jy niks weet nie.","Hy’t nie geluister nie, toe skree sy, 'Hou jou bek!'","As jy so praat in die huis, Pa sal sê jy moet jou bek hou."
praat bokkom en klip,Verb phrase with metaphorical noun objects,To talk nonsense or exaggerate a lot,You're talking rubbish,C1,"humor, criticism, casual speech","ironic, sarcastic, informal",Refers to exaggerative storytelling like 'old fisherman tales',/prɑːt ˈbɔ.kɔm ən klɪp/,Jy's weer daar besig om bokkom en klip te praat.,Die tannie op die stoep praat altyd bokkom en klip oor haar jong dae.,Moenie glo wat hy sê nie — hy praat net bokkom en klip.
maak soos by jou huis,Imperative clause,Make yourself at home,Act like you are comfortable here,A2,"hospitality, home, casual visitors","friendly, warm, inviting",Reflects Cape Flats hospitality norms,/maːk sus bɛi jəu ɦœis/,"Kom in, maak soos by jou huis, help jouself.","Sy’t ingekom en ek sê toe, 'Maak soos by jou huis, man.'","Altyd as ons by hulle kuier, hulle sê 'maak soos by jou huis'."
jy’t nie al jou skroewe nie,Negative clause with object,You're acting crazy or not thinking straight,You're not thinking clearly,B1,"humor, sarcasm, family, social","colloquial, humorous, mocking",Used to call out odd behavior light-heartedly,/jɛt ni ɑl jəu ˈskru.və ni/,Jy’t nie al jou skroewe nie as jy dink jy kan dit doen nie!,My sussie sê ek’t nie al my skroewe nie toe ek begin dans.,"Hy’t in die reen gaan swem – ek sê toe, jy’t nie al jou skroewe nie!"
jy’s ‘n lang slap tjip,Nominal metaphor,"You are boring, lazy, or slow",You're being dull or unmotivated,B2,"youth slang, teasing, peer groups","humorous, critical, teasing","Food-based metaphor, relates to limp fries",/jəs ə lɑŋ slɑp tʃɪp/,"Jy’s ‘n lang slap tjip, staan op en help bietjie!",Ek lag toe sy vir hom sê hy’s ‘n lang slap tjip.,Sy’t heeldag lê – daai’s ‘n lang slap tjip as ek ooit een gesien het!
jy’t die kat aan die stert beet,Fixed clause with metaphor,You've misunderstood something completely,You're mistaken about this,C1,"argument, correction, school","idiomatic, figurative, common","Shared across Afrikaans variants, but popular in Kaaps",/jɛt di kɑt ɑn di stært bet/,"Nee man, jy’t die kat aan die stert beet – dis nie wat ek bedoel het nie.",My teacher sê ek’t die kat aan die stert beet met daai vraag.,"Jy verstaan dit verkeerd – kat aan die stert beet, regtig!"
staan met jou hand in jou hare,Progressive action with prepositional phrase,"To be shocked, confused or helpless",To be at a loss for what to do,C1,"reaction, surprise, emotional moments","emotive, visual, dramatic",Based on real physical gesture of despair,/stɑːn mɛt jəu hɑnt ən jəu ɦɑ.rə/,Ek het net daar gestaan met my hande in my hare toe ek dit sien.,Sy’t met haar hand in haar hare gestaan toe die kar breek.,"Toe hulle vir hom skel, hy staan net daar met sy hand in sy hare!"
hy is nie op sy vurk nie,Negative locative phrase,He's not sharp or is a bit slow mentally,He’s not very bright,C1,"humor, education, sarcasm","colloquial, mocking",Folk metaphor from eating utensils – incomplete functioning,/ɦɛi ɪs ni ɔp sɑi fœrk ni/,"Daai boy is nie op sy vurk nie, shame.",Jy moet stadig praat – hy is nie op sy vurk nie.,"As jy dit nie verstaan nie, maybe jy’s nie op jou vurk nie!"
gooi ‘n draai,Verb phrase with object noun,To stop by briefly or pay a casual visit,To drop in or make a quick visit,A2,"daily speech, family, informal","casual, friendly",Cultural Cape Flats way of softening social visits,/χɔi ən drɑi/,Ek gaan gou ‘n draai gooi by my ma-hulle.,Kom gooi ‘n draai as jy in die area is.,Hulle’t altyd gesê ek moet ‘n draai gooi as ek lonely voel.